"hydrogen","","H",""
"carbon","","C",""
"nitrogen","","N",""
"oxygen","","O",""
"fluorine","","F",""
"silicon","","Si",""
"phosphorus","","P",""
"sulfur","","S",""
"chlorine","","Cl",""
"bromine","","Br",""
"iodine","","I",""
